date, pm25, pm10, o3, no2, so2, co
2022/12/1, 25, 9, 19, 15, 1, 2
2022/12/2, 29, 11, , 18, , 4
2022/12/3, 36, 14, 15, 16, 1, 4
2022/12/4, 46, 9, 17, 16, 1, 2
2022/12/5, 29, 7, 14, 17, , 3
2022/12/6, 26, 14, 15, 27, 3, 5
2022/12/7, 45, 15, 15, 29, 1, 5
2022/12/8, 46, 14, 13, 27, 1, 3
2022/12/9, 43, 18, 24, 25, 1, 4
2022/12/10, 57, 17, 28, 17, 1, 4
2022/12/11, 54, 11, 28, 15, 1, 2
2022/12/12, 36, 13, 10, 27, 1, 4
2022/12/13, 50, 13, 24, 17, 1, 3
2022/12/14, 35, 10, 20, 24, 1, 3
2022/12/15, 29, 11, 19, 25, 1, 3
2022/12/16, 35, 12, 16, 20, 2, 3
2022/12/17, 42, 7, 28, 12, 1, 2
2022/12/18, 30, 10, 24, 18, 1, 3
2022/12/19, 25, 12, 11, 30, 2, 3
2022/12/20, 40, 15, 10, 30, 2, 4
2022/12/21, 53, 14, 17, 25, 1, 3
2022/12/22, 48, 7, 25, 10, 1, 2
2022/12/23, 27, 6, 24, 11, 1, 2
2022/12/24, 23, 7, 30, 9, 1, 2
2022/12/25, 19, 5, 26, 13, 1, 2
2022/12/26, 21, 6, 24, 17, 1, 2
2022/12/27, 22, , 12, , 2, 4
2022/12/29, 36, 7, 24, 11, 1, 2
2022/12/30, 30, 8, 28, 10, 1, 2
2022/12/31, 26, , , , , 
2022/11/1, 40, 18, 28, 25, 2, 3
2022/11/2, 41, 21, 31, 21, 1, 3
2022/11/3, 54, 20, 28, 21, 1, 3
2022/11/4, 51, 16, 25, 14, 1, 2
2022/11/5, 35, 16, 32, 11, 1, 2
2022/11/6, 41, 19, 18, 25, 2, 5
2022/11/7, 49, 16, 34, 19, 1, 3
2022/11/8, 45, 19, 29, 19, 2, 3
2022/11/9, 47, 27, 29, 28, 2, 4
2022/11/10, 69, 23, 37, 21, 1, 3
2022/11/11, 63, 22, 34, 23, 3, 4
2022/11/12, 61, 21, 33, 17, 1, 4
2022/11/13, 59, 9, 25, 10, 1, 2
2022/11/14, 28, 11, 16, 15, 1, 2
2022/11/15, 30, 12, 25, 20, 1, 3
2022/11/16, 35, 14, 25, 20, 1, 3
2022/11/17, 42, 19, 27, 23, 2, 4
2022/11/18, 51, 19, 34, 20, 1, 4
2022/11/19, 56, 18, 21, 12, , 3
2022/11/20, 60, 13, 23, 18, 1, 3
2022/11/21, 37, 18, 29, 19, , 4
2022/11/22, 47, 11, 24, 11, , 2
2022/11/23, 36, 7, 24, 13, 1, 2
2022/11/24, 18, 15, 26, 20, 2, 2
2022/11/25, 38, 21, 7, 27, 2, 4
2022/11/26, 59, 13, 30, 11, 1, 2
2022/11/27, 38, 18, 15, 22, 1, 3
2022/11/28, 53, 23, 25, 21, 1, 3
2022/11/29, 56, 14, 23, 15, 1, 3
2022/11/30, 30, 9, 20, 14, , 3
2022/10/1, 45, 21, 23, 9, 1, 2
2022/10/2, 51, 26, 36, 16, 2, 3
2022/10/3, 53, 23, 29, 13, 1, 3
2022/10/4, 44, 15, 19, 12, 1, 2
2022/10/5, 37, 7, 22, 11, 1, 1
2022/10/6, 22, 6, 26, 11, , 
2022/10/7, 20, 8, 24, 13, 1, 2
2022/10/8, 25, 8, 29, 7, 1, 2
2022/10/9, 27, 15, 28, 16, 1, 4
2022/10/10, 42, 12, 30, 14, 1, 2
2022/10/11, 35, 11, , 13, 1, 2
2022/10/12, 35, 12, 18, 13, 1, 2
2022/10/13, 40, 10, 20, 16, 1, 3
2022/10/14, 30, 13, 29, 11, 1, 2
2022/10/15, 38, 16, 29, 11, 1, 2
2022/10/16, 44, 26, 9, 23, 1, 4
2022/10/17, 58, 19, 24, 13, 1, 2
2022/10/18, 37, 17, 20, 15, 1, 3
2022/10/19, 32, 20, 28, 22, 1, 2
2022/10/20, 38, 20, 29, 23, 1, 4
2022/10/21, 49, 26, 15, 24, 1, 4
2022/10/22, 64, 26, 39, 16, 2, 4
2022/10/23, 62, 13, 28, 12, 1, 2
2022/10/24, 31, 10, 21, 12, 1, 2
2022/10/25, 31, 12, 26, 11, 1, 2
2022/10/26, 31, 19, 26, 20, 1, 2
2022/10/27, 46, 22, 22, 26, 1, 4
2022/10/28, 55, 16, 31, 16, 1, 3
2022/10/29, 44, 15, 35, 13, 1, 3
2022/10/30, 38, 15, 28, 17, 1, 2
