date, pm25, pm10, no2, co
2022/12/1, 134, 34, 27, 
2022/12/2, 82, 24, 23, 
2022/12/3, 76, 13, 20, 
2022/12/4, 53, 16, 22, 
2022/12/5, 50, 36, 39, 
2022/12/6, 74, 53, 41, 
2022/12/7, 114, 49, 25, 
2022/12/8, 114, 27, 25, 
2022/12/9, 76, 28, 21, 
2022/12/10, 78, 20, 33, 
2022/12/11, 59, 31, 29, 
2022/12/12, 78, 42, 27, 
2022/12/13, 102, 50, 35, 
2022/12/14, 119, 50, 33, 
2022/12/15, 112, 31, 27, 
2022/12/16, 85, 32, 28, 
2022/12/17, 78, 42, 23, 
2022/12/18, 99, 50, 22, 
2022/12/19, 114, 51, 25, 
2022/12/20, 122, 44, 30, 
2022/12/21, 97, 51, 29, 
2022/12/22, 122, 62, 28, 
2022/12/23, 95, 59, 26, 
2022/12/24, 144, 50, 21, 
2022/12/25, 134, 47, 19, 
2022/12/26, 102, 48, 38, 
2022/12/27, 109, 51, 25, 
2022/12/28, 127, , , 
2022/11/1, 65, 40, 23, 
2022/11/2, 80, 39, 17, 
2022/11/3, 87, 10, 31, 
2022/11/4, 34, 22, 28, 
2022/11/5, 59, , 27, 
2022/11/8, 95, 39, 27, 
2022/11/9, 93, 36, 28, 
2022/11/10, 89, 44, 35, 
2022/11/11, 107, 37, 21, 
2022/11/12, 91, 23, 26, 
2022/11/13, 68, 24, 24, 
2022/11/14, 70, 22, 24, 
2022/11/15, 65, 20, 20, 
2022/11/16, 42, 41, 27, 
2022/11/17, 97, 30, 31, 
2022/11/18, 72, 36, 29, 
2022/11/19, 85, 23, 36, 
2022/11/20, 63, 46, 43, 
2022/11/21, 104, 18, 27, 
2022/11/22, 55, 33, 43, 
2022/11/23, 80, 41, 34, 
2022/11/24, 82, 50, 29, 
2022/11/25, 109, 54, 39, 
2022/11/26, 139, 30, 40, 
2022/11/27, 78, 37, 27, 
2022/11/28, 87, 38, 27, 
2022/11/29, 91, 53, 33, 
2022/11/30, 129, 54, 34, 
2022/10/1, 46, 20, 16, 
2022/10/2, 53, 28, 21, 
2022/10/3, 53, 35, 26, 
2022/10/4, 76, 42, 32, 
2022/10/5, 93, 54, 33, 
2022/10/6, 114, 49, 43, 
2022/10/7, 65, 44, 35, 
2022/10/8, 93, 36, 16, 
2022/10/9, 55, 29, 21, 
2022/10/10, 63, 34, 28, 
2022/10/11, 72, 36, 32, 
2022/10/12, 76, 53, 32, 
2022/10/13, 124, 58, 32, 
2022/10/14, 137, 59, 32, 
2022/10/15, 142, 59, 31, 
2022/10/16, 147, 58, 29, 
2022/10/17, 134, 52, 31, 
2022/10/18, 102, 54, 38, 
2022/10/19, 114, 50, 28, 
2022/10/20, 102, 39, 25, 
2022/10/21, 74, 33, 24, 
2022/10/22, 61, 24, 17, 
2022/10/23, 42, 41, 22, 
2022/10/24, 65, 35, 27, 
2022/10/25, 57, 46, 31, 
2022/10/26, 70, 53, 34, 
2022/10/27, 82, 55, 33, 
2022/10/28, 95, 43, 33, 
2022/10/29, 74, 40, 29, 
2022/10/30, 76, 41, 35, 
2022/10/31, 72, 30, 30, 
2022/9/1, 38, 20, 14, 
2022/9/2, 30, 19, 17, 
2022/9/3, 46, 20, 11, 
2022/9/4, 53, 25, 11, 
2022/9/5, 55, 27, 21, 
2022/9/6, 55, 32, 22, 
2022/9/7, 65, 24, 17, 
2022/9/8, 53, 18, 16, 
2022/9/9, 34, 11, 17, 
2022/9/10, 30, 15, 19, 
2022/9/11, 34, 20, 26, 
2022/9/12, 42, 28, 28, 
2022/9/13, 34, 22, 22, 
2022/9/14, 42, 25, 20, 
2022/9/15, 38, 26, 20, 
2022/9/16, 53, 14, 12, 
2022/9/17, 34, 10, 15, 
2022/9/18, 21, 13, 26, 
2022/9/19, 25, 19, 20, 
2022/9/20, 42, 18, 15, 
2022/9/21, 38, 21, 26, 
2022/9/22, 42, 27, 22, 
2022/9/23, 61, 27, 17, 
2022/9/24, 63, 23, 12, 
2022/9/25, 65, 16, 26, 
2022/9/26, 50, 20, 22, 
2022/9/27, 53, 26, 22, 
2022/9/28, 55, 26, 19, 
2022/9/29, 59, 11, 20, 
2022/9/30, 34, 16, 19, 
2022/8/3, 80, , 26, 
2022/8/6, 50, 10, 13, 
2022/8/7, 25, 12, 6, 
2022/8/8, 38, 38, 19, 
2022/8/9, 99, 19, 17, 
2022/8/10, 53, 20, 15, 
2022/8/11, 55, 20, 13, 
2022/8/12, 57, 11, 13, 
2022/8/13, 17, , 11, 
2022/8/17, 61, 22, 11, 
2022/8/18, 42, 6, 8, 
2022/8/19, 21, 9, 12, 
2022/8/20, 21, 8, 13, 
2022/8/21, 17, 13, 16, 
2022/8/22, 46, 17, 17, 
2022/8/23, 50, 15, 18, 
2022/8/24, 42, 19, 20, 
2022/8/25, 50, 21, 20, 
2022/8/26, 57, 12, 22, 
2022/8/27, 42, 13, 13, 
2022/8/28, 42, 13, 7, 
2022/8/29, 38, 1, 22, 
2022/8/30, 5, 12, 14, 
2022/8/31, 38, 17, 17, 
2022/7/1, 55, 24, 15, 
2022/7/2, 57, 27, 17, 
2022/7/3, 63, 29, 25, 
2022/7/4, 63, 21, 19, 
2022/7/5, 55, 20, 13, 
2022/7/6, 55, 21, 18, 
2022/7/7, 59, 21, 14, 
2022/7/8, 50, 19, 15, 
2022/7/9, 50, 17, 11, 
2022/7/10, 50, 22, 24, 
2022/7/11, 53, 22, 14, 
2022/7/12, 53, 22, 14, 
2022/7/13, 55, 33, 24, 
2022/7/14, 72, 29, 19, 
2022/7/15, 63, 24, 12, 
2022/7/16, 59, 26, 10, 
2022/7/17, 59, 30, 17, 
2022/7/18, 63, , 26, 
2022/7/26, 400, , 18, 
2022/7/27, 568, 20, 24, 
2022/7/28, 53, , 21, 
2022/6/1, 74, 25, 23, 
2022/6/2, 61, 33, 16, 
2022/6/3, 70, 24, 20, 
2022/6/4, 50, 32, 17, 
2022/6/5, 70, 22, 24, 
2022/6/6, 46, 19, 17, 
2022/6/7, 50, 14, 21, 
2022/6/8, 38, 10, 20, 
2022/6/9, 21, 11, 38, 
2022/6/10, 25, 18, 38, 
2022/6/11, 42, 20, 21, 
2022/6/12, 63, 28, 31, 
2022/6/13, 68, 29, 21, 
2022/6/14, 70, 31, 24, 
2022/6/15, 68, 36, 26, 
2022/6/16, 76, 38, 22, 
2022/6/17, 78, 26, 13, 
2022/6/18, 65, 25, 12, 
2022/6/19, 63, 27, 19, 
2022/6/20, 59, 26, 11, 
2022/6/21, 38, 33, 22, 
2022/6/22, 74, 40, 19, 
2022/6/23, 72, 26, 13, 
2022/6/24, 50, 17, 11, 
2022/6/25, 42, 21, 12, 
2022/6/26, 53, 36, 16, 
2022/6/27, 63, 40, 26, 
2022/6/28, 68, 24, 14, 
2022/6/29, 65, 28, 10, 
2022/6/30, 57, 25, 21, 
2022/5/3, 59, 26, 29, 
2022/5/4, 61, 30, 32, 
2022/5/5, 91, 14, 26, 
2022/5/6, 53, 27, 24, 
2022/5/7, 70, 18, 18, 
2022/5/8, 42, 30, 17, 
2022/5/9, 63, 32, 36, 
2022/5/10, 53, 25, 33, 
2022/5/11, 42, 24, 37, 
2022/5/12, 42, 27, 17, 
2022/5/13, 30, 25, 13, 
2022/5/14, 61, 27, 15, 
2022/5/15, 63, 22, 14, 
2022/5/16, 50, 30, 17, 
2022/5/17, 63, , 23, 
2022/5/20, 70, 29, 22, 
2022/5/21, 61, 25, 15, 
2022/5/22, 63, 23, 10, 
2022/5/23, 57, 29, 11, 
2022/5/24, 59, 25, 23, 
2022/5/25, 57, 37, 21, 
2022/5/26, 78, 37, 22, 
2022/5/27, 70, 40, 23, 
2022/5/28, 78, 12, 17, 
2022/5/29, 30, 14, 9, 
2022/5/30, 42, 30, 17, 
2022/5/31, 70, 31, 25, 
2022/4/1, 63, 17, 23, 
2022/4/2, 42, 17, 26, 
2022/4/3, 57, 25, 28, 
2022/4/4, 68, 40, 51, 
2022/4/5, 95, 49, 27, 
2022/4/6, 109, 29, 28, 
2022/4/7, 65, 34, 37, 
2022/4/8, 68, , 26, 
2022/4/10, 70, , 20, 
2022/4/12, 61, 39, 33, 
2022/4/13, 85, 47, 46, 
2022/4/14, 91, 50, 43, 
2022/4/15, 95, 31, 32, 
2022/4/16, 70, 14, 7, 
2022/4/17, 38, 16, 11, 
2022/4/18, 46, 29, 27, 
2022/4/19, 70, 30, 23, 
2022/4/20, 70, 26, 24, 
2022/4/21, 68, 31, 20, 
2022/4/22, 72, 37, 15, 
2022/4/23, 93, 14, 18, 
2022/4/24, 46, 17, 14, 
2022/4/25, 46, 30, 28, 
2022/4/26, 78, , 29, 
2022/4/28, 42, 20, 27, 
2022/4/29, 50, 49, 27, 
2022/3/1, 68, 45, 43, 
2022/3/2, 95, 40, 43, 
2022/3/3, 85, 52, 36, 
2022/3/4, 127, 33, 20, 
2022/3/5, 80, 27, 22, 
2022/3/6, 70, 43, 38, 
2022/3/7, 95, 38, 41, 
2022/3/8, 89, 55, 56, 
2022/3/9, 129, 63, 59, 
2022/3/10, 139, 44, 44, 
2022/3/11, 95, 33, 20, 
2022/3/12, 72, 29, 20, 
2022/3/13, 72, 45, 33, 
2022/3/14, 104, 64, 38, 
2022/3/15, 154, 44, 30, 
2022/3/16, 95, 62, 25, 
2022/3/17, 152, 53, 31, 
2022/3/18, 109, 34, 26, 
