date, pm25, o3, no2, co
2022/11/1, 40, 28, 20, 3
2022/11/2, 45, 23, 25, 3
2022/11/3, 53, 17, 26, 4
2022/11/4, 47, 24, 10, 1
2022/11/5, 31, 21, 6, 1
2022/11/6, 37, 31, 9, 1
2022/11/7, 26, 22, 7, 1
2022/11/8, 23, 18, 14, 2
2022/11/9, 26, 15, 28, 3
2022/11/10, 43, 100, 21, 4
2022/11/11, 41, 24, 7, 1
2022/11/12, 41, 14, 5, 1
2022/11/13, 27, 23, 9, 1
2022/11/14, 28, 19, 18, 1
2022/11/15, 22, , , 
2022/11/17, 38, 18, 14, 
2022/11/18, 43, 17, 13, 
2022/11/19, 38, 23, 11, 
2022/11/20, 33, , , 
2022/10/1, 21, 20, 3, 1
2022/10/2, 19, 17, 6, 1
2022/10/3, 17, 14, 8, 1
2022/10/4, 24, 11, 9, 1
2022/10/5, 27, 32, 12, 2
2022/10/6, 35, 40, 19, 2
2022/10/7, 46, 20, 4, 1
2022/10/8, 20, 27, 13, 2
2022/10/9, 33, 27, 20, 2
2022/10/10, 41, 25, 24, 3
2022/10/11, 52, 37, 16, 2
2022/10/12, 42, 30, 14, 1
2022/10/13, 28, 26, 14, 2
2022/10/14, 32, 33, 16, 3
2022/10/15, 46, 21, 13, 2
2022/10/16, 44, 25, 21, 3
2022/10/17, 41, 17, 9, 2
2022/10/18, 33, 13, 12, 2
2022/10/19, 26, 21, 14, 2
2022/10/20, 26, 18, 27, 3
2022/10/21, 45, 28, 31, 3
2022/10/22, 55, 25, 13, 3
2022/10/23, 38, 18, 9, 2
2022/10/24, 29, 10, 15, 3
2022/10/25, 50, 18, 15, 1
2022/10/26, 29, 23, 7, 1
2022/10/27, 23, 16, 12, 2
2022/10/28, 32, 20, 20, 3
2022/10/29, 36, 18, 26, 4
2022/10/30, 63, 17, 28, 4
2022/10/31, 50, 13, 16, 2
2022/9/1, 29, 32, 7, 1
2022/9/2, 20, 32, 9, 2
2022/9/3, 23, 36, 9, 2
2022/9/4, 36, 40, 9, 2
2022/9/5, 45, 24, 13, 2
2022/9/6, 30, 22, 7, 1
2022/9/7, 19, 30, 11, 1
2022/9/8, 25, 28, 13, 2
2022/9/9, 35, 33, 12, 2
2022/9/10, 40, 19, 11, 2
2022/9/11, 30, 8, 13, 2
2022/9/12, 33, 33, 14, 2
2022/9/13, 27, 29, 8, 1
2022/9/14, 29, 25, 6, 1
2022/9/15, 24, 26, 15, 2
2022/9/16, 21, 40, 5, 1
2022/9/17, 21, 41, 10, 2
2022/9/18, 40, 40, 13, 2
2022/9/19, 51, 25, 7, 1
2022/9/20, 30, 36, 9, 2
2022/9/21, 27, 26, 11, 2
2022/9/22, 33, 24, 4, 1
2022/9/23, 10, 23, 6, 1
2022/9/24, 17, 28, 12, 2
2022/9/25, 30, 26, 10, 1
2022/9/26, 25, 21, 9, 1
2022/9/27, 24, 20, 7, 1
2022/9/28, 18, 20, 7, 1
2022/9/29, 17, 19, 7, 1
2022/9/30, 21, 16, 5, 1
2022/8/1, 34, 43, 25, 2
2022/8/2, 41, 46, , 2
2022/8/3, 37, 56, , 2
2022/8/4, 51, 50, 14, 2
2022/8/5, 44, 49, 10, 2
2022/8/6, 29, 30, 6, 1
2022/8/7, 26, 40, 11, 1
2022/8/8, 35, 42, 8, 1
2022/8/9, 41, 40, 7, 1
2022/8/10, 24, 48, 10, 1
2022/8/11, 38, 22, 3, 1
2022/8/12, 21, 98, 3, 1
2022/8/13, 15, , , 
2022/8/15, 25, 33, 8, 1
2022/8/16, 26, 26, 10, 1
2022/8/17, 29, 33, 11, 1
2022/8/18, 39, 47, 11, 2
2022/8/19, 45, 42, 10, 2
2022/8/20, 49, 34, 6, 1
2022/8/21, 31, 23, 11, 2
2022/8/22, 28, 41, 10, 1
2022/8/23, 34, 35, 7, 1
2022/8/24, 37, 42, 10, 1
2022/8/25, 42, 34, 20, 2
2022/8/26, 58, 45, 7, 2
2022/8/27, 52, 35, 4, 1
2022/8/28, 40, 32, 9, 1
2022/8/29, 40, 26, 8, 1
2022/8/30, 25, 29, 6, 1
2022/8/31, 26, 35, 7, 1
2022/7/1, 53, 45, 6, 3
2022/7/2, 32, 35, 5, 1
2022/7/3, 29, 35, 7, 1
2022/7/4, 38, 40, 15, 2
2022/7/5, 53, 35, 5, 1
2022/7/6, 19, 31, 6, 1
2022/7/7, 10, 36, 18, 3
2022/7/8, 27, 34, 8, 2
2022/7/9, 23, 35, 5, 1
2022/7/10, 21, 45, 9, 1
2022/7/11, 19, 56, 10, 1
2022/7/12, 30, 54, 7, 1
2022/7/13, 28, 46, 6, 1
2022/7/14, 22, 39, 7, 1
2022/7/15, 25, 48, 6, 2
2022/7/16, 34, 44, 11, 2
2022/7/17, 33, 28, 17, 3
2022/7/18, 40, 39, 5, 1
2022/7/19, 38, 61, , 
2022/7/21, 53, 50, , 2
2022/7/22, 51, 58, , 2
2022/7/23, 58, 50, , 2
2022/7/24, 59, 33, , 2
2022/7/25, 67, 36, , 1
2022/7/26, 26, 56, 13, 2
2022/7/27, 33, 48, 14, 2
2022/7/28, 46, 35, 9, 1
2022/7/29, 41, 28, 4, 1
2022/7/30, 23, 36, 7, 2
2022/7/31, 24, 31, 13, 3
2022/6/1, 16, 33, 12, 2
2022/6/2, 31, 33, 12, 2
2022/6/3, 30, 45, 13, 2
2022/6/4, 31, 44, 6, 1
2022/6/5, 14, 45, 14, 4
2022/6/6, 26, 30, 8, 2
2022/6/7, 17, 44, 9, 2
2022/6/8, 21, 37, 8, 1
2022/6/9, 14, 33, 5, 1
2022/6/10, 16, 32, 11, 3
2022/6/11, 28, 37, 9, 3
2022/6/12, 26, 51, 10, 3
2022/6/13, 37, 35, 7, 1
2022/6/14, 16, 37, 12, 1
2022/6/15, 23, 24, 10, 1
2022/6/16, 12, 40, 9, 2
2022/6/17, 30, 27, 1, 1
2022/6/18, 9, 25, 2, 
2022/6/19, 9, 31, 6, 2
2022/6/20, 25, 37, 21, 3
2022/6/21, 49, 40, 16, 1
2022/6/22, 23, 33, 10, 1
2022/6/23, 21, 38, 16, 3
2022/6/24, 38, 52, 11, 3
2022/6/25, 45, 50, 11, 4
2022/6/26, 39, 22, 13, 2
2022/6/27, 34, 31, 9, 1
2022/6/28, 19, 50, 18, 3
2022/6/29, 30, 48, 12, 2
2022/6/30, 35, 60, 14, 2
2022/5/1, 39, 40, 17, 2
2022/5/2, 41, 30, 8, 1
2022/5/3, 28, 19, 12, 2
2022/5/4, 49, 32, , 2
2022/5/5, 26, 33, , 3
2022/5/6, 29, 36, 8, 1
2022/5/7, 24, 31, 4, 1
2022/5/8, 22, 41, 7, 1
2022/5/9, 22, 39, 7, 1
2022/5/10, 31, 37, 13, 2
2022/5/11, 44, 29, 13, 2
2022/5/12, 22, 16, 11, 2
2022/5/13, 16, 20, 14, 3
2022/5/14, 13, 27, 11, 2
2022/5/15, 9, 32, , 3
2022/5/16, 36, 36, , 1
2022/5/17, 16, 34, , 1
2022/5/18, 15, 24, , 2
2022/5/19, 29, 25, , 3
2022/5/20, 38, 54, 15, 4
2022/5/21, 53, 43, 12, 3
2022/5/22, 54, 29, 4, 1
2022/5/23, 12, 24, 11, 1
2022/5/24, 13, 25, 10, 1
2022/5/25, 13, 27, 10, 1
2022/5/26, 17, 21, 10, 2
2022/5/27, 23, 29, 7, 1
2022/5/28, 17, 38, 6, 1
2022/5/29, 23, 47, 14, 3
2022/5/30, 46, 42, 7, 2
2022/5/31, 39, 22, 8, 1
2022/4/6, 75, 31, 13, 2
2022/4/7, 34, 30, 15, 3
2022/4/8, 26, 35, , 3
2022/4/9, 22, 29, , 1
2022/4/10, 19, 26, , 2
2022/4/11, 30, 24, , 4
2022/4/12, 33, 36, , 6
2022/4/13, 43, 38, , 4
2022/4/14, 44, 30, , 2
2022/4/15, 13, 39, , 2
2022/4/16, 16, 37, , 1
2022/4/17, 10, 27, , 1
2022/4/18, 9, 24, , 1
2022/4/19, 21, 26, , 2
2022/4/20, 32, 29, , 3
2022/4/21, 35, 32, , 2
2022/4/22, 27, 34, , 2
2022/4/23, 21, 31, , 2
2022/4/24, 28, 36, , 2
2022/4/25, 25, 27, , 2
2022/4/26, 36, 24, 5, 1
2022/4/27, 18, 26, 5, 1
2022/4/28, 19, 35, 7, 1
2022/4/29, 23, 36, 9, 1
2022/4/30, 25, 35, 16, 2
2022/3/1, 32, 30, , 
2022/3/4, 36, 25, , 3
2022/3/5, 53, 8, 20, 5
2022/3/6, 56, 30, 16, 2
2022/3/7, 54, 33, 7, 1
2022/3/8, 29, 16, 26, 3
2022/3/9, 27, 25, 29, 4
2022/3/10, 57, 30, 36, 4
2022/3/11, 47, 31, 14, 2
2022/3/12, 33, 27, , 2
2022/3/13, 42, 29, , 3
2022/3/14, 44, 36, , 3
2022/3/15, 46, 36, , 2
2022/3/16, 55, 23, , 3
2022/3/17, 66, 30, , 3
2022/3/18, 63, 30, 19, 3
2022/3/19, 47, 28, 5, 1
2022/3/20, 15, 36, 7, 1
2022/3/21, 25, 35, 8, 1
2022/3/22, 20, 24, 11, 1
2022/3/23, 17, 23, 10, 2
2022/3/24, 23, 26, 19, 3
2022/3/25, 31, 26, , 2
2022/3/26, 26, 27, , 2
2022/3/27, 23, 28, , 1
2022/3/28, 40, 28, , 2
2022/3/29, 38, 23, , 2
2022/3/30, 34, 24, , 5
2022/3/31, 60, , , 
2022/2/1, 53, 6, , 5
2022/2/2, 54, 4, , 5
2022/2/3, 49, 21, , 3
2022/2/4, 29, 26, , 2
2022/2/5, 59, 20, , 2
2022/2/6, 31, 6, 32, 6
2022/2/7, 53, 26, 19, 3
2022/2/8, 49, 15, 26, 3
2022/2/9, 56, 26, 29, 4
2022/2/10, 40, 29, 30, 4
2022/2/11, 43, 27, 14, 2
2022/2/12, 39, 20, 6, 2
2022/2/13, 33, 26, , 2
2022/2/14, 48, 25, , 2
2022/2/15, 46, 24, , 3
2022/2/16, 35, 27, , 2
2022/2/17, 35, 29, , 1
2022/2/18, 36, 31, , 2
2022/2/19, 35, 28, , 2
2022/2/20, 32, 16, , 3
2022/2/21, 49, 24, , 5
2022/2/22, 56, 28, , 2
2022/2/23, 44, 22, , 1
2022/2/24, 29, 19, , 2
2022/2/25, 31, 28, 10, 2
2022/2/26, 46, 33, 12, 2
2022/2/27, 46, 29, 11, 1
2022/2/28, 32, 26, 29, 2
2022/1/3, 29, 18, , 2
2022/1/4, 77, 12, , 3
2022/1/5, 114, 18, , 2
2022/1/6, 113, 21, , 2
2022/1/7, 112, 25, , 2
2022/1/8, 108, , , 
2022/1/9, 113, 25, , 1
2022/1/10, 111, 22, 16, 2
2022/1/11, 79, 12, 28, 3
2022/1/12, 52, 1, 42, 8
2022/1/13, 73, 20, 19, 3
2022/1/14, 54, 22, 12, 2
2022/1/15, 46, 23, 15, 2
2022/1/16, 47, 25, 9, 2
2022/1/17, 40, 26, , 1
2022/1/18, 56, 16, , 3
2022/1/19, 49, 22, , 2
2022/1/20, 51, 24, , 2
2022/1/21, 39, 20, , 2
2022/1/22, 41, 19, , 2
2022/1/23, 55, 18, , 3
2022/1/24, 64, 23, , 2
2022/1/25, 72, 25, , 2
2022/1/26, 39, 20, , 3
2022/1/27, 47, 12, , 4
2022/1/28, 52, 28, , 2
2022/1/29, 34, 26, , 2
2022/1/30, 46, 18, , 4
2022/1/31, 55, 23, , 4
2021/10/1, 95, 34, , 2
2021/10/2, 98, , , 
2021/10/3, 107, , , 
2021/10/4, 110, , , 
2021/10/5, 101, , , 
2021/10/6, 98, , , 
2021/10/7, 107, , , 
2021/10/8, 108, , , 
2021/10/9, 101, , , 
2021/10/10, 97, , , 
2021/10/11, 99, , , 
2021/10/12, 106, , , 
2021/10/13, 104, , , 
2021/10/14, 104, , , 
2021/10/15, 107, , , 
2021/10/16, 107, , , 
2021/10/17, 93, , , 
2021/10/18, 86, , , 
